"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YAL001C",159.022013024595,-0.860812344711501,0.18788974400986,2.49744363852719e-06,1.1717155537454e-05
"YAL002W",73.7833830749905,-1.18754970740347,0.230151160929581,7.46131305023295e-08,4.55614609394159e-07
"YAL003W",326.243957946807,-0.841100560238955,0.187201148396556,3.90784713594396e-06,1.77365938875891e-05
"YAL005C",3106.7624354412,1.30054170520772,0.15481684545753,1.09018081673196e-17,2.33508344937704e-16
"YAL007C",67.4041476649369,0.869464842159205,0.260476741301853,0.000437999227062942,0.00129814672459474
"YAL008W",60.4921904801231,-0.59310091719968,0.240550098109095,0.0100443919361102,0.0210686322757806
"YAL009W",28.162431469543,-1.20704047002677,0.351398421485968,0.00016169452355769,0.000532196691307786
"YAL010C",20.0953763222784,-0.458192002618083,0.38924837578678,0.187993810273319,0.261799832311106
"YAL011W",57.1406213539023,1.02566928185886,0.425216142129379,0.00579133928073001,0.0129525977728456
"YAL012W",94.3132723110636,2.70329628410773,0.286747653564108,3.0065563769983e-23,1.08022661054862e-21
"YAL013W",41.6254716852572,0.676162709711498,0.319524523008404,0.0223635770722434,0.0427394511720395
"YAL014C",22.895255766568,-0.127601413506215,0.369024200786477,0.702506067250224,0.763516059429449
"YAL015C",24.955715601485,0.423809404500998,0.363748219510661,0.199004279735303,0.274049167617681
"YAL016W",278.958624999899,-0.623890409799061,0.20892528969278,0.00203236845392496,0.00511213185181035
"YAL017W",391.080870842824,-0.910783570664995,0.177980058783079,1.56057095361024e-07,9.06237710183048e-07
"YAL019W",110.526663983196,-0.658349818294807,0.228876889540118,0.00277211759385429,0.00672969611167156
"YAL020C",17.8471129389935,-1.56833702213374,0.560923748810863,0.00053831702605198,0.00155525133713635
"YAL021C",87.4420275706611,-1.64772887829571,0.36042999064748,4.92776478900555e-07,2.60862377471216e-06
"YAL022C",37.2840321909365,-0.918643474690568,0.361243223035993,0.00501587291604525,0.0114387372110795
"YAL023C",171.718855995967,0.233211577726846,0.219735079482538,0.271791228388083,0.353480932016169
"YAL024C",45.4443903914673,-0.388747748402328,0.303280634394492,0.170326132043166,0.241852684688524
"YAL025C",36.9607695427202,-0.0422135266109436,0.35829878716318,0.897067690916615,0.918340068146071
"YAL026C",93.6528039352818,-1.21611592241118,0.273097781993081,2.36812693035512e-06,1.11385970229288e-05
"YAL027W",24.7378241925794,-0.232089715288341,0.32567683492257,0.441387591820077,0.528734673875244
"YAL028W",20.7422216628727,0.598887838343658,0.372802375722149,0.0748871310530656,0.120953141773353
"YAL029C",194.805495551928,-0.811472209934312,0.210772124864748,6.79332633575139e-05,0.000243292825490672
"YAL030W",86.5753927185015,-0.123749065362384,0.216612567764296,0.554618276461729,0.635397897884256
"YAL031C",88.0386218716774,-1.25939392256935,0.25409854232949,1.85497448173123e-07,1.06170122186652e-06
"YAL032C",38.4539813254869,-1.04899489824907,0.301176108638689,0.000188069302937777,0.000608749408926557
"YAL033W",18.0567992633754,-0.592704725024361,0.392827799721375,0.0906549635048266,0.142075585033272
"YAL034C",207.556860085233,0.861418749415933,0.241435799252043,0.000190557721149691,0.000615197651642104
"YAL034W-A",11.1207790447363,-0.177863825412885,0.429480749200935,0.635104209125884,0.708519944492814
"YAL035W",396.16402301649,0.760994404440384,0.282350664989902,0.00420075334922021,0.00978009841212682
"YAL036C",34.0794700195402,-0.459443225839037,0.314193565629459,0.11582089371589,0.174703834535155
"YAL037W",13.4840481841077,-1.92180815748369,0.562121440000835,2.78589036125384e-05,0.000107441990455835
"YAL038W",2237.195176419,-2.70823613640057,0.182643310486403,7.1122478232934e-52,1.3202702709307e-49
"YAL039C",72.3709625080245,0.108819312985483,0.234707026324513,0.629554795071689,0.703166998346217
"YAL040C",47.576725579902,-1.87758148514409,0.355094238445444,7.24048884531034e-09,5.18281264518423e-08
"YAL041W",57.3465816179021,-1.25170219340836,0.283835384852687,2.67488483432596e-06,1.24760750773545e-05
"YAL042W",69.2827666794442,-0.692698192124345,0.258847102526677,0.00488476441004229,0.0111855481083575
"YAL043C",30.5808572303071,-0.516620125126249,0.36972189842914,0.122091957564838,0.182340987470715
"YAL044C",128.857181452525,0.99983602166445,0.197714069452651,1.84374722913799e-07,1.05636093817587e-06
"YAL044W-A",47.4107199000751,0.215877356239415,0.29688087485488,0.438244665229146,0.525082732500239
"YAL046C",27.2329897699837,0.352592675762685,0.36741598066018,0.289276948003007,0.371879806885676
"YAL047C",20.9677298002415,0.0669181581070203,0.393762367228691,0.848997780566475,0.88276113517078
"YAL048C",31.4794079589466,-1.46243945633399,0.361746293974955,8.27506647851057e-06,3.53132913554217e-05
"YAL049C",241.147208546459,0.0147639616132405,0.188227397743233,0.935881156169699,0.950040495572194
"YAL051W",106.797198886924,-0.707508690884064,0.210453998067342,0.000508089436928446,0.00148066461237808
"YAL053W",171.961566367308,-1.06522871689659,0.263082056685133,1.93121393039758e-05,7.61141569595479e-05
"YAL054C",111.942818451288,0.229961537868488,0.261634974919261,0.35571192775438,0.441712897095587
"YAL055W",39.5917636116851,0.749539167985565,0.411960108391959,0.0389591178965583,0.0686517755928379
"YAL056W",219.76444491725,-1.74013756725421,0.247411584679612,1.74913007132587e-13,2.21384212891223e-12
"YAL058W",21.2362467753555,-1.16491296499505,0.476046938757399,0.00389149527906838,0.00910959949942488
"YAL059W",26.2228282355966,-0.652970162973515,0.367763608814023,0.0495642349843852,0.0843849662574262
"YAL060W",300.22235568915,-0.368940031263207,0.236633725554511,0.104356132381815,0.160231403703978
"YAL061W",164.442985334597,-1.09673707650872,0.197747557013064,1.06353487714545e-08,7.4594782504068e-08
"YAL062W",69.5846986887045,0.581596827718914,0.281185700420774,0.0282612325938678,0.0521493718738402
"YAL063C",34.5947448128806,-0.103890662585229,0.284913663920046,0.699018314054049,0.760606051451723
"YAL067C",59.6415579515564,0.353013453187901,0.266814554988513,0.163446326169126,0.233546431066398
"YAR002C-A",109.442535643459,0.183167358836166,0.234202544179596,0.41587125594374,0.502601350770548
"YAR002W",54.5109426316007,-0.619977652774654,0.277961098439424,0.0181341975960332,0.0356600799478493
"YAR003W",45.5068487102688,-1.86735159829328,0.358806383567189,1.16339285724954e-08,8.07847234666168e-08
