"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YAL001C",159.022013024595,-0.391517427842653,0.186959951589327,0.0289476130048017,0.0641756595635911
"YAL002W",73.7833830749905,0.0057838360193126,0.232882202439262,0.978862347284303,0.986479263848404
"YAL003W",326.243957946807,-1.02770969789025,0.186944710991663,8.31657709236508e-09,1.07709343784607e-07
"YAL005C",3106.7624354412,1.03789127306295,0.154056835907177,3.44391560294339e-12,8.12676525118295e-11
"YAL007C",67.4041476649369,-0.800892206390672,0.23197325218615,0.000216468319855885,0.001037445846194
"YAL008W",60.4921904801231,-0.107269478041649,0.238890276144801,0.630692602796467,0.727792603599985
"YAL009W",28.162431469543,-0.97123887313836,0.345841269631149,0.00109980036568695,0.00419218907358701
"YAL010C",20.0953763222784,-0.815187153709319,0.378236194158837,0.0100174049315497,0.0268264359277984
"YAL011W",57.1406213539023,0.990044669475546,0.420494371413348,0.00352306928448467,0.0112348848723399
"YAL012W",94.3132723110636,0.172538720520915,0.221871710702594,0.409544630631903,0.53028459613789
"YAL013W",41.6254716852572,0.382998818802172,0.299902626315432,0.153747521601984,0.248684271798271
"YAL014C",22.895255766568,-0.330719993724368,0.349063691488513,0.270253826765369,0.387000144318936
"YAL015C",24.955715601485,0.0132805285604396,0.335784579167122,0.963737609198513,0.976178553436584
"YAL016W",278.958624999899,-0.490750173310039,0.205926358273957,0.0120744889003214,0.0313632596482696
"YAL017W",391.080870842824,-0.0721045890513926,0.176625965170991,0.671930522926232,0.762424833369231
"YAL019W",110.526663983196,-0.715915663956438,0.225698273069164,0.000716526924335557,0.00289995526280866
"YAL020C",17.8471129389935,-1.08737743613139,0.53069584357901,0.00487764232581942,0.0146592499257897
"YAL021C",87.4420275706611,-1.19929355681656,0.356493453864715,8.23475854679729e-05,0.000446102824388269
"YAL022C",37.2840321909365,-0.597783185002577,0.34665892377347,0.0451309851264803,0.0918620088338336
"YAL023C",171.718855995967,-0.606561318559078,0.213268362301033,0.00261525485762701,0.00876842522704685
"YAL024C",45.4443903914673,-0.628529667544822,0.294765343835404,0.017468392958095,0.0422962958189701
"YAL025C",36.9607695427202,-0.991432744809851,0.354363599214484,0.0010609732228832,0.00405807683944818
"YAL026C",93.6528039352818,-0.926489484320441,0.269795714313037,0.000161819614907897,0.000806780157047517
"YAL027W",24.7378241925794,0.143622715486347,0.320153239222975,0.610871358655991,0.71045802702921
"YAL028W",20.7422216628727,1.35940130465562,0.42934856657114,9.08608100858525e-05,0.000485532580094132
"YAL029C",194.805495551928,-0.707756324203679,0.208388041945962,0.000333071773519812,0.00150558174247714
"YAL030W",86.5753927185015,0.0680653013768151,0.214719831476052,0.737751482298397,0.814055479476872
"YAL031C",88.0386218716774,-0.429026266716648,0.249375928258134,0.06342865470766,0.121804888988606
"YAL032C",38.4539813254869,-0.890566117228901,0.297200688648651,0.000797101609777474,0.00317529246412786
"YAL033W",18.0567992633754,-0.841599418587109,0.383102320335016,0.00838706379888406,0.023179929675427
"YAL034C",207.556860085233,1.45948917310866,0.252329755974154,3.37318499375502e-10,5.64122139045697e-09
"YAL034W-A",11.1207790447363,-0.371494378031554,0.400344046811658,0.255947930203999,0.373036907434197
"YAL035W",396.16402301649,0.190262222017373,0.26916046879905,0.440345928842796,0.556831625278276
"YAL036C",34.0794700195402,-1.08305089716707,0.310882903408699,8.0858293032465e-05,0.000439381939783912
"YAL037W",13.4840481841077,-0.39122912042964,0.477616929518397,0.271415123214113,0.388285550585172
"YAL038W",2237.195176419,-1.39386718473553,0.182253464705707,1.21590377838534e-15,4.66990906332964e-14
"YAL039C",72.3709625080245,0.214451374950561,0.229280502780473,0.319198447993775,0.440364012642911
"YAL040C",47.576725579902,-1.42318429751478,0.358359993000017,3.57947068542138e-06,2.71581365764464e-05
"YAL041W",57.3465816179021,-0.77247220965179,0.278777565973161,0.00223020099307654,0.00768088393966807
"YAL042W",69.2827666794442,-0.302949280373683,0.253494280591635,0.196428774201314,0.301353124938599
"YAL043C",30.5808572303071,-0.640652893983186,0.357232944548474,0.0354436019036734,0.075882549877294
"YAL044C",128.857181452525,0.60168036748887,0.190251600349928,0.000939707734229765,0.00365449187983629
"YAL044W-A",47.4107199000751,0.200627300744087,0.286852042303613,0.439497376981587,0.556343872681319
"YAL046C",27.2329897699837,-0.713746674046436,0.34063699079776,0.0153940677647964,0.0379670342702174
