"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"sce01110","Metabolism","Global and overview maps","sce01110","Biosynthesis of secondary metabolites","146/620","372/2564",0.39247311827957,1.62306625043358,7.33850239133357,1.61598590261544e-12,1.71294505677236e-10,1.20773683248101e-10,"YAL012W/YAL038W/YAL061W/YBR029C/YBR052C/YBR117C/YBR196C/YBR208C/YBR256C/YCL009C/YCL018W/YCL064C/YCR005C/YCR012W/YCR068W/YCR105W/YDL015C/YDL021W/YDL055C/YDL090C/YDL168W/YDL205C/YDR032C/YDR050C/YDR148C/YDR354W/YEL011W/YEL046C/YER005W/YER052C/YER055C/YER065C/YER073W/YER141W/YFL018C/YFL053W/YFR015C/YFR055W/YGL001C/YGL009C/YGL012W/YGL148W/YGL184C/YGL205W/YGL253W/YGR043C/YGR060W/YGR087C/YGR088W/YGR124W/YGR157W/YGR175C/YGR240C/YGR254W/YGR256W/YHL011C/YHL032C/YHR007C/YHR033W/YHR046C/YHR072W/YHR123W/YHR174W/YHR183W/YIL020C/YIL053W/YIL074C/YIL155C/YIL162W/YIR031C/YJL045W/YJL052W/YJL088W/YJL097W/YJL130C/YJL137C/YJL196C/YJR009C/YJR010W/YJR019C/YJR148W/YKL019W/YKL055C/YKL060C/YKL085W/YKL106W/YKL148C/YKL152C/YKL181W/YKR031C/YKR058W/YKR069W/YKR097W/YLL058W/YLL062C/YLR044C/YLR056W/YLR100W/YLR134W/YLR142W/YLR153C/YLR164W/YLR174W/YLR258W/YLR303W/YLR377C/YLR438W/YLR446W/YLR450W/YML070W/YML075C/YMR015C/YMR105C/YMR169C/YMR170C/YMR202W/YMR207C/YMR208W/YMR303C/YNL037C/YNL117W/YNL169C/YNL241C/YNL277W/YNL280C/YNR001C/YNR016C/YNR043W/YOL056W/YOL058W/YOL061W/YOL086C/YOL126C/YOL140W/YOR136W/YOR274W/YOR347C/YOR374W/YPL028W/YPL061W/YPL111W/YPL262W/YPL273W/YPR006C/YPR035W/YPR184W",146
"sce01200","Metabolism","Global and overview maps","sce01200","Carbon metabolism","59/620","113/2564",0.52212389380531,2.15923494147873,7.11641140067852,4.32674315538735e-11,2.29317387235529e-09,1.61683560017106e-09,"YAL038W/YBR117C/YBR196C/YBR218C/YCL064C/YCR005C/YCR012W/YDL021W/YDL168W/YDR050C/YDR148C/YER065C/YFL018C/YFL053W/YGL062W/YGL205W/YGL253W/YGR043C/YGR088W/YGR240C/YGR254W/YGR256W/YHL011C/YHR174W/YHR183W/YIL074C/YIR031C/YJL045W/YJL052W/YJR009C/YKL060C/YKL085W/YKL106W/YKL148C/YKL152C/YKL181W/YKR009C/YKR097W/YLR153C/YLR164W/YLR174W/YLR303W/YLR377C/YLR446W/YML070W/YNL037C/YNL117W/YNL241C/YNR001C/YOL056W/YOL061W/YOL126C/YOR136W/YOR347C/YOR388C/YPL028W/YPL262W/YPR002W/YPR006C",59
"sce00010","Metabolism","Carbohydrate metabolism","sce00010","Glycolysis / Gluconeogenesis","33/620","55/2564",0.6,2.48129032258064,6.27037070593452,1.10340213462376e-08,3.89868754233728e-07,2.7488263704662e-07,"YAL038W/YBR196C/YCR012W/YCR105W/YDL021W/YDL168W/YDR050C/YER073W/YFL018C/YGL253W/YGR087C/YGR240C/YGR254W/YHR174W/YJL052W/YJR009C/YKL060C/YKL152C/YKR097W/YLR044C/YLR134W/YLR153C/YLR377C/YLR446W/YMR105C/YMR169C/YMR170C/YMR303C/YOL056W/YOL086C/YOR347C/YOR374W/YPL061W",33
"sce00620","Metabolism","Carbohydrate metabolism","sce00620","Pyruvate metabolism","29/620","52/2564",0.557692307692308,2.30632754342432,5.37360767658884,7.89974314604129e-07,2.09343193370094e-05,1.47600464044456e-05,"YAL038W/YBL015W/YBR218C/YCR105W/YDL168W/YEL071W/YER073W/YFL018C/YGL062W/YIR031C/YKL085W/YKR097W/YLR153C/YML054C/YMR169C/YMR170C/YMR207C/YMR303C/YNL117W/YNR016C/YOL086C/YOL126C/YOR347C/YOR374W/YOR391C/YPL028W/YPL061W/YPL262W/YPL280W",29
"sce01230","Metabolism","Global and overview maps","sce01230","Biosynthesis of amino acids","51/620","125/2564",0.408,1.68727741935484,4.44839351755345,1.85675861824442e-05,0.000393632827067817,0.00027753655135864,"YAL012W/YAL038W/YBR117C/YBR218C/YCL009C/YCL018W/YCL064C/YCR005C/YCR012W/YDL021W/YDR050C/YDR354W/YEL046C/YER052C/YER055C/YFR055W/YGL009C/YGL062W/YGL148W/YGL184C/YGR043C/YGR124W/YGR240C/YGR254W/YHL011C/YHR033W/YHR174W/YIL020C/YIL074C/YJL052W/YJL088W/YJR009C/YJR148W/YKL060C/YKL106W/YKL152C/YKL181W/YLL058W/YLR174W/YLR303W/YNL037C/YNL277W/YNR001C/YOL056W/YOL058W/YOL061W/YOL140W/YOR136W/YOR347C/YPL111W/YPR035W",51
"sce00051","Metabolism","Carbohydrate metabolism","sce00051","Fructose and mannose metabolism","15/620","23/2564",0.652173913043478,2.69705469845722,4.6161450137636,3.27121774193035e-05,0.000495355829492311,0.000349257834100835,"YDL055C/YDR050C/YEL070W/YFL053W/YGL253W/YGR240C/YIL107C/YJL155C/YJR159W/YKL060C/YLR377C/YLR446W/YML070W/YNR073C/YOL136C",15
"sce01212","Metabolism","Global and overview maps","sce01212","Fatty acid metabolism","15/620","23/2564",0.652173913043478,2.69705469845722,4.6161450137636,3.27121774193035e-05,0.000495355829492311,0.000349257834100835,"YDL015C/YER061C/YGL055W/YGL205W/YHR067W/YIL009W/YJL097W/YJL196C/YKL055C/YKL182W/YMR207C/YMR246W/YNR016C/YPL028W/YPL231W",15
"sce03050","Genetic Information Processing","Folding, sorting and degradation","sce03050","Proteasome","20/620","36/2564",0.555555555555556,2.29749103942652,4.42679183646599,4.66611636376949e-05,0.000618260418199457,0.000435913502404781,"YBL041W/YBR173C/YDL007W/YDR363W-A/YDR394W/YDR427W/YFR004W/YFR052W/YGL011C/YGL048C/YGR135W/YGR253C/YHR027C/YHR200W/YIL007C/YIL075C/YOL038W/YOR157C/YOR261C/YPR103W",20
"sce00380","Metabolism","Amino acid metabolism","sce00380","Tryptophan metabolism","13/620","20/2564",0.65,2.68806451612903,4.2792484575178,0.000119347054032148,0.00140564308082308,0.000991069103658774,"YDR148C/YDR242W/YER073W/YFL018C/YGR088W/YJL060W/YJR078W/YLR231C/YMR169C/YMR170C/YOR374W/YPL028W/YPL061W",13
"sce00100","Metabolism","Lipid metabolism","sce00100","Steroid biosynthesis","12/620","18/2564",0.666666666666667,2.75698924731183,4.22374970141088,0.00015504288245415,0.00164345455401399,0.00115874154255207,"YCR048W/YGL001C/YGL012W/YGR060W/YGR175C/YHR007C/YHR072W/YLR056W/YLR100W/YMR015C/YMR202W/YNL280C",12
"sce00071","Metabolism","Lipid metabolism","sce00071","Fatty acid degradation","12/620","20/2564",0.6,2.48129032258064,3.755075275544,0.000643741742446227,0.00620332951811819,0.00437374772379733,"YDL168W/YER073W/YGL205W/YIL009W/YMR169C/YMR170C/YMR246W/YMR303C/YOL086C/YOR374W/YPL028W/YPL061W",12
